,0
0,この前探った時は、途中に瘢痕の隆起があったので、ついそこが行きどまりだとばかり思って、ああ云ったんですが、
1,今日疎通を好くするために、そいつをがりがり掻き落して見ると、まだ奥があるんです」
2,津田の顔には苦笑の裡に淡く盛り上げられた失望の色が見えた。医者は白いだぶだぶした上着の前に
3,両手を組み合わせたまま、ちょっと首を傾けた。その様子が「御気の毒ですが
4,津田は無言のまま帯を締め直して、椅子の背に投げ掛けられた袴を取り上げながらまた医者の方を向いた。
5,「腸まで続いているとすると、癒りっこないんですか」「そんな事はありません」
6,医者は活溌にまた無雑作に津田の言葉を否定した。併せて彼の気分をも否定するごとくに。
7,「ただ今までのように穴の掃除ばかりしていては駄目なんです。それじゃいつまで経っても肉の上りこはないから、
8,「切開です。切開して穴と腸といっしょにしてしまうんです。すると
9,天然自然割かれた面の両側が癒着して来ますから、まあ本式に癒るようになるんです」
10,医者と懇意な彼は先刻診察所へ這入った時、物珍らしさに、それを覗かせて貰ったのである。
11,その時八百五十倍の鏡の底に映ったものは、
12,まるで図に撮影ったように鮮やかに見える着色の葡萄状の細菌であった。津田は袴を穿いてしまって、
13,その洋卓の上に置いた皮の紙入を取り上げた時、ふとこの細菌の事を思い出した。
14,すると連想が急に彼の胸を不安にした。診察所を出るべく紙入を懐に収めた彼は
15,すでに出ようとしてまた躊躇した。「もし結核性のものだとすると、
16,「結核性なら駄目です。それからそれへと穴を掘って奥の方へ進んで行くんだから、
17,口元だけ治療したって役にゃ立ちません」津田は思わず眉を寄せた。
18,「私のは結核性じゃないんですか」「いえ、結核性じゃありません」津田は
19,相手の言葉にどれほどの真実さがあるかを確かめようとして、ちょっと眼を医者の上に据えた。
20,医者は動かなかった。「どうしてそれが分るんですか。ただの診察で分るんですか」
21,「ええ。診察た様子で分ります」　その時看護婦が津田の後に廻った患者の名前を室の出口に立って呼んだ。
22,待ち構えていたその患者はすぐ津田の背後に現われた。津田は早く退却しなければならなくなった。
23,津田は自分の都合を善く考えてから日取をきめる事にして室外に出た。章、終り。
24,二電車に乗った時の彼の気分は沈んでいた。
25,身動きのならないほど客の込み合う中で、彼は釣革にぶら下りながらただ自分の事ばかり考えた。
26,去年の疼痛がありありと記憶の舞台に上った。
27,白いベッドの上に横えられた無残な自分の姿が明かに見えた。鎖を切って逃げる事ができない時に
28,犬の出すような自分の唸り声が判然聴えた。それから冷たい刃物の光と、
29,それが互に触れ合う音と、最後に突然両方の肺臓から一度に空気を搾り出すような恐ろしい力の圧迫と、
30,圧された空気が圧されながらに収縮する事ができないために起るとしか思われない劇しい苦痛とが彼の記憶を襲った。
31,彼は不愉快になった。急に気を換えて自分の周囲を眺めた。
32,周囲のものは彼の存在にすら気がつかずにみんな澄ましていた。彼はまた考えつづけた。
33,「どうしてあんな苦しい目に会ったんだろう」荒川堤へ花見に行った帰り途から
34,何らの予告なしに突発した当時の疼痛について、彼は全くの盲目漢であった。その原因は
35,あらゆる想像のほかにあった。不思議というよりもむしろ恐ろしかった。
36,「この肉体はいつ何時どんな変に会わないとも限らない。
37,それどころか、今現にどんな変がこの肉体のうちに起りつつあるかも知れない。そうして自分は全く知らずにいる。
38,恐ろしい事だ」ここまで働らいて来た彼の頭はそこでとまる事ができなかった。
39,どっと後から突き落すような勢で、彼を前の方に押しやった。突然彼は心の中で叫んだ。
40,「精神界も同じ事だ。精神界も全く同じ事だ。いつどう変るか分らない。
41,そうしてその変るところをおれは見たのだ」彼は思わず唇を固く結んで、
